,name,rating,reviews,highly rated for,critically rated for,details,jobs
16,Okaya Electric Vehicles,3.1,82,"Company Culture, Promotions / Appraisal, Work Satisfaction",,44 years old | Delhi +17 more,82
17,Learning Routes,4.0,82,"Company Culture, Skill Development / Learning, Salary & Benefits",,EdTech | 201-500 Employees | 7 years old | Gurgaon +12 more,82
18,Steel Infra Solutions,3.2,82,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,Iron & Steel | 201-500 Employees | Bhilai Nagar +10 more,82
19,BlueBinaries Engineering and Solutions,3.5,82,"Company Culture, Work Satisfaction, Skill Development / Learning",,Software Product | 501-1k Employees | Startup | 7 years old | Chennai +5 more,82
0,SE2 DIGITAL SERVICE LLP,3.3,82,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,IT Services & Consulting | 51-200 Employees | 5 years old | Topeka +2 more,82
1,Learning Routes,4.0,82,"Company Culture, Skill Development / Learning, Salary & Benefits",,EdTech | 201-500 Employees | 7 years old | Gurgaon +12 more,82
2,Steel Infra Solutions,3.2,82,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,Iron & Steel | 201-500 Employees | Bhilai Nagar +10 more,82
3,Fairdebt Solutions,4.7,82,"Skill Development / Learning, Job Security, Company Culture",,BPO | 51-200 Employees | Bengaluru/Bangalore +3 more,82
4,Okaya Electric Vehicles,3.1,82,"Company Culture, Promotions / Appraisal, Work Satisfaction",,44 years old | Delhi +17 more,82
5,Turing,3.9,82,"Work Life Balance, Company Culture, Salary & Benefits",Job Security,Internet | 1k-5k Employees | Startup | 6 years old | Palo Alto +3 more,82
6,Sony Pictures Networks,4.0,82,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,Mumbai +11 more,82
7,GlowTouch Technologies,3.2,81,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | 1k-5k Employees | 22 years old | Louisville +4 more,81
8,Chevrolet,4.4,81,"Skill Development / Learning, Work Satisfaction, Job Security",,Automobile | 201-500 Employees | 113 years old | Detroit +39 more,81
9,Envision Enterprise Solutions,3.0,81,"Salary & Benefits, Promotions / Appraisal, Company Culture",,IT Services & Consulting | 51-200 Employees | 18 years old | New Jersey +2 more,81
10,Paramount,3.3,81,"Promotions / Appraisal, Salary & Benefits, Company Culture",,IT Services & Consulting | 501-1k Employees | Jalandhar +24 more,81
11,Enrich Agro Food Products,4.0,81,"Work Life Balance, Work Satisfaction, Salary & Benefits",,FMCG | 201-500 Employees | 13 years old | Gurgaon/Gurugram +5 more,81
12,On Demand Agility Software,3.5,81,"Job Security, Skill Development / Learning, Promotions / Appraisal",,IT Services & Consulting | 201-500 Employees | 18 years old | King of Prussia +4 more,81
13,Raj Industries,3.6,81,"Promotions / Appraisal, Job Security, Company Culture",,Packaging | 51-200 Employees | 16 years old | Bhiwadi +20 more,81
14,Merino Panel Products,4.1,81,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",Furniture & Furnishing | 501-1k Employees | 50 years old | Kolkata +16 more,81
15,iPlaceUSA,3.8,81,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",Job Security,Recruitment | 501-1k Employees | 18 years old | McLean,81
16,SHM Shipcare Private Limited,4.5,81,"Skill Development / Learning, Company Culture, Job Security",,Ports & Shipping | 201-500 Employees | 23 years old | Mumbai +10 more,81
17,Absotherm Facility Management,4.3,81,"Company Culture, Work Satisfaction, Salary & Benefits",,Facility Management Services | 5k-10k Employees (Global) | 14 years old | Thane +16 more,81
18,Saint-Gobain Weber,3.7,81,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Engineering & Construction | 1k-5k Employees | Mumbai +17 more,81
19,Ashiana Homes,3.9,81,"Promotions / Appraisal, Job Security, Work Satisfaction",,Real Estate | 51-200 Employees | 45 years old | Delhi/NCR +7 more,81
0,Newtech Medical Devices,3.2,81,"Promotions / Appraisal, Job Security, Salary & Benefits",,Medical Equipment | 51-200 Employees | 17 years old | Faridabad +6 more,81
1,Apeejay School,3.4,81,"Promotions / Appraisal, Job Security, Work Satisfaction",,Education & Training | New Delhi +9 more,81
2,Egon Zehnder International,3.9,81,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Management Consulting | 501-1k Employees | 60 years old | Zurich +3 more,81
3,KMC HOSPITAL,4.0,81,"Skill Development / Learning, Promotions / Appraisal, Job Security",,Healthcare | 501-1k Employees | 42 years old | Coimbatore +14 more,81
4,Ibg Fincon Solutions,4.2,81,"Skill Development / Learning, Promotions / Appraisal, Work Life Balance",,Financial Services | 51-200 Employees | 12 years old | Pune +5 more,81
5,Saroj Educational Group,4.5,81,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,Education & Training | 51-200 Employees | Lucknow +2 more,81
6,Lark Laboratories (I),3.2,81,"Company Culture, Work Life Balance, Work Satisfaction",,Pharma | 51-200 Employees | 45 years old | New Delhi +9 more,81
7,Nissin Abc Logistics,4.4,81,"Job Security, Work Life Balance, Company Culture",,Logistics | 51-200 Employees | 25 years old | Gurugram +14 more,81
8,SHRI LAKSHMI STEEL SUPPLIERS,3.5,81,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,Iron & Steel | 501-1k Employees | 38 years old | Bangalore/Bengaluru +11 more,81
9,Lavya Associates HR Services,3.9,81,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",,Recruitment | 51-200 Employees | 12 years old | Ludhiana +4 more,81
10,ATC India Tower Corporation,4.4,81,"Work Life Balance, Skill Development / Learning, Company Culture",Job Security,Telecom | 1k-5k Employees | 17 years old | New Delhi +25 more,81
11,Tyco International,4.2,81,"Skill Development / Learning, Salary & Benefits, Company Culture",,Law Enforcement & Security | 50k-1 Lakh Employees (Global) | 64 years old | New Jersey +18 more,81
12,Paramount Plaster,3.6,81,,,Metals & Mining | 11-50 Employees | 11 years old | Gwalior +33 more,81
13,AddWeb Solution,4.6,81,"Company Culture, Skill Development / Learning, Job Security",,IT Services & Consulting | 11-50 Employees | 12 years old | Ahmedabad +2 more,81
14,Cambridge School,4.1,81,"Skill Development / Learning, Work Life Balance, Company Culture",,Education & Training | 51-200 Employees | 93 years old | New Delhi +28 more,81
15,Kalyaniwalla & Mistry,3.3,81,Job Security,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",Accounting & Auditing | 51-200 Employees | 96 years old | Mumbai +5 more,81
16,WHSmith,4.2,81,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,Retail | 201-500 Employees | 232 years old | Swindon +15 more,81
17,Optimize IT Systems,3.8,81,Company Culture,Promotions / Appraisal,IT Services & Consulting | 201-500 Employees | 14 years old | Bidhannagar +9 more,81
18,Mahanagar Telephone Nigam,3.6,81,"Promotions / Appraisal, Work Satisfaction, Company Culture",,Telecom | 10k-50k Employees | Public | 38 years old | New Delhi +8 more,81
19,Doosan Babcock,4.4,81,"Work Satisfaction, Skill Development / Learning, Work Life Balance",,Engineering & Construction | 1k-5k Employees (Global) | 143 years old | Crawley +9 more,81
0,Europ Assistance India,3.6,81,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Insurance | 201-500 Employees | 17 years old | Paris +4 more,81
1,Intec Infra-Technologies,3.3,81,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,Architecture & Interior Design | 51-200 Employees | 28 years old | Gurgaon/Gurugram +1 more,81
2,Recaero,3.9,81,Salary & Benefits,Promotions / Appraisal,Aviation | 201-500 Employees (Global) | 33 years old | Verniolle +4 more,81
3,Golden Star Facilities and Services,4.5,81,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,Facility Management Services | 51-200 Employees | 16 years old | Hyderabad +13 more,81
4,Reliance Footprint,4.1,81,"Skill Development / Learning, Company Culture, Job Security",,Retail | 1-10 Employees | 17 years old | Mumbai +41 more,81
5,iPlaceUSA,3.8,81,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",Job Security,Recruitment | 501-1k Employees | 18 years old | McLean,81
6,Egon Zehnder International,3.9,81,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Management Consulting | 501-1k Employees | 60 years old | Zurich +3 more,81
7,Enrich Agro Food Products,4.0,81,"Work Life Balance, Work Satisfaction, Salary & Benefits",,FMCG | 201-500 Employees | 13 years old | Gurgaon/Gurugram +5 more,81
8,On Demand Agility Software,3.5,81,"Job Security, Skill Development / Learning, Promotions / Appraisal",,IT Services & Consulting | 201-500 Employees | 18 years old | King of Prussia +4 more,81
9,Raj Industries,3.6,81,"Promotions / Appraisal, Job Security, Company Culture",,Packaging | 51-200 Employees | 16 years old | Bhiwadi +20 more,81
10,Carillion Alawi LLC,3.6,81,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,Facility Management Services | 5k-10k Employees (Global) | 45 years old | Ruwi +9 more,81
11,Apollo Home Healthcare,3.9,81,"Promotions / Appraisal, Company Culture",,Healthcare | 51-200 Employees | 10 years old | Delhi/NCR +10 more,81
12,Sagacious IP,4.0,81,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,11-50 Employees | 16 years old | Everett +3 more,81
13,Sandip University,3.8,81,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Education & Training | 501-1k Employees | 8 years old | Nashik +16 more,81
14,Mumbai District Central Co-operative Bank,4.4,81,"Work Satisfaction, Company Culture, Work Life Balance",,Banking | 5k-10k Employees | Public | 49 years old | Mumbai +6 more,81
15,Vardhman Acrylics,3.6,81,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Fashion & Textile | 1k-5k Employees | Public | 34 years old | Bharuch +9 more,81
16,Bestech Group,3.7,81,Job Security,Promotions / Appraisal,Real Estate | 1k-5k Employees | Conglomerate | 34 years old | Gurgaon/Gurugram +5 more,81
17,Wizertech Informatics,4.1,81,"Job Security, Company Culture, Skill Development / Learning",,IT Services & Consulting | 51-200 Employees | 24 years old | Kolkata +10 more,81
18,Nissin Abc Logistics,4.4,81,"Job Security, Work Life Balance, Company Culture",,Logistics | 51-200 Employees | 25 years old | Gurugram +14 more,81
19,CADS Software,3.9,81,"Promotions / Appraisal, Work Life Balance, Company Culture",,IT Services & Consulting | 201-500 Employees | 50 years old | Dorset +3 more,81
0,Reliance Footprint,4.1,81,"Skill Development / Learning, Company Culture, Job Security",,Retail | 1-10 Employees | 17 years old | Mumbai +41 more,81
1,Sourcefuse Technologies,4.1,81,"Salary & Benefits, Work Life Balance, Company Culture",,IT Services & Consulting | 501-1k Employees | 18 years old | Jacksonville Beach +4 more,81
2,Lavie World,3.9,81,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,Retail | 201-500 Employees | 14 years old | Mumbai +17 more,81
3,Carillion Alawi LLC,3.6,81,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,Facility Management Services | 5k-10k Employees (Global) | 45 years old | Ruwi +9 more,81
4,Golden Star Facilities and Services,4.5,81,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,Facility Management Services | 51-200 Employees | 16 years old | Hyderabad +13 more,81
5,Omni Hospital,3.8,81,"Salary & Benefits, Promotions / Appraisal, Job Security",,Healthcare | 501-1k Employees | 14 years old | Hyderabad +5 more,81
6,Karbonn Mobile,3.7,81,"Promotions / Appraisal, Job Security, Salary & Benefits",,Electronics Manufacturing | 201-500 Employees | 15 years old | Bengaluru +23 more,81
7,Robo Silicon,4.2,81,"Job Security, Company Culture, Salary & Benefits",,Metals & Mining | 201-500 Employees | 25 years old | Hyderabad +8 more,81
8,Poddar Tyres,3.8,81,Job Security,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",Auto Components | 501-1k Employees | Public | 43 years old | Mumbai +14 more,81
9,Bhavani Erectors,3.4,81,"Job Security, Salary & Benefits, Work Life Balance",,Engineering & Construction | 201-500 Employees | 39 years old | Kerala +19 more,81
10,Vardhman Acrylics,3.6,81,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Fashion & Textile | 1k-5k Employees | Public | 34 years old | Bharuch +9 more,81
11,Mumbai District Central Co-operative Bank,4.4,81,"Work Satisfaction, Company Culture, Work Life Balance",,Banking | 5k-10k Employees | Public | 49 years old | Mumbai +6 more,81
12,Ecs Me Llc,4.3,81,"Work Life Balance, Company Culture, Skill Development / Learning",,IT Services & Consulting | 51-200 Employees | 16 years old | Dubai +5 more,81
13,Sandip University,3.8,81,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Education & Training | 501-1k Employees | 8 years old | Nashik +16 more,81
14,Bestech Group,3.7,81,Job Security,Promotions / Appraisal,Real Estate | 1k-5k Employees | Conglomerate | 34 years old | Gurgaon/Gurugram +5 more,81
15,Wizertech Informatics,4.1,81,"Job Security, Company Culture, Skill Development / Learning",,IT Services & Consulting | 51-200 Employees | 24 years old | Kolkata +10 more,81
16,Cosma International India,3.8,81,"Promotions / Appraisal, Company Culture, Work Satisfaction",,Auto Components | 1k-5k Employees | Pune +9 more,81
17,Sigma Corporation India,4.1,81,"Job Security, Work Life Balance",Promotions / Appraisal,Auto Components | 201-500 Employees | 60 years old | New Delhi +5 more,81
18,Jagran New Media,4.4,81,"Company Culture, Job Security, Work Life Balance",,Internet | 501-1k Employees | 16 years old | Noida +7 more,81
19,Apollo Home Healthcare,3.9,81,"Promotions / Appraisal, Company Culture",,Healthcare | 51-200 Employees | 10 years old | Delhi/NCR +10 more,81
0,Sagacious IP,4.0,81,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,11-50 Employees | 16 years old | Everett +3 more,81
1,China Steel Corporation,4.4,81,"Job Security, Work Life Balance, Company Culture",,Metals & Mining | 51-200 Employees | 53 years old | Kaohsiung  +3 more,81
2,Galaxy Toyota,3.5,81,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Automobile | 501-1k Employees (Global) | 19 years old | New Delhi +2 more,81
3,Shri Ram Murti Smarak Institute of Medical Sciences,4.0,81,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Education & Training | 501-1k Employees (Global) | 34 years old | Bareilly +4 more,81
4,CADS Software,3.9,81,"Promotions / Appraisal, Work Life Balance, Company Culture",,IT Services & Consulting | 201-500 Employees | 50 years old | Dorset +3 more,81
5,New Holland,4.3,81,"Skill Development / Learning, Company Culture, Work Satisfaction",,Greater Noida +19 more,81
6,DAIMLER TRUCKS ASIA,3.8,81,"Work Life Balance, Job Security",Promotions / Appraisal,501-1k Employees | Chennai +10 more,81
7,JAAC TECHNO SERVICES,4.2,81,"Job Security, Skill Development / Learning, Work Satisfaction",,Industrial Machinery | 201-500 Employees | 15 years old | Vadodara +14 more,81
8,Abryl Laboratories Manufacturing Unit,3.7,81,Skill Development / Learning,Work Satisfaction,Pharma | 201-500 Employees | 8 years old |  Dera Bassi +4 more,81
9,Wonder Home Finance,4.3,81,"Company Culture, Work Satisfaction, Work Life Balance",,Financial Services | 51-200 Employees | 7 years old | jaipur +32 more,81
10,Arvind Textile Mills,4.4,81,"Work Satisfaction, Company Culture, Work Life Balance",,Fashion & Textile | 10k-50k Employees (Global) | 93 years old | Ahmedabad +12 more,81
11,Computer Technologies,4.2,81,"Company Culture, Work Satisfaction, Job Security",,IT Services & Consulting | 51-200 Employees | 31 years old | Pune +36 more,81
12,Exotel,2.8,81,"Job Security, Promotions / Appraisal, Company Culture",,Internet | 51-200 Employees | 13 years old | Bangalore +5 more,81
13,Statusneo,4.1,81,"Salary & Benefits, Skill Development / Learning, Work Satisfaction",,IT Services & Consulting | 201-500 Employees | 4 years old | Dallas +13 more,81
14,FINPLAN INTERNATIONAL EDUCATION,4.7,81,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",,Education & Training | 51-200 Employees | 13 years old | Mumbai +3 more,81
15,Wavin,3.6,81,Promotions / Appraisal,,5k-10k Employees | Noida +20 more,81
16,Punjab State Power Corporation,3.8,81,"Promotions / Appraisal, Company Culture, Job Security",,Power | 10k-50k Employees | State | Patiala +16 more,81
17,SKS Business Services,3.1,81,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Accounting & Auditing | 201-500 Employees | Jamnagar +14 more,81
18,GMR DIAL,4.1,81,"Job Security, Work Life Balance, Skill Development / Learning",Salary & Benefits,Engineering & Construction | 5k-10k Employees | 18 years old | New Delhi +2 more,81
19,SMSlocal,4.8,81,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Mumbai +2 more,81
0,AppLogiQ,4.9,81,"Skill Development / Learning, Company Culture, Work Satisfaction",,IT Services & Consulting | 51-200 Employees | Startup | 4 years old | Tiruppur,81
1,Asia Motor Works,4.2,80,Skill Development / Learning,"Salary & Benefits, Work Life Balance, Job Security",Auto Components | 1k-5k Employees | 22 years old | Mumbai +14 more,80
2,Utsav Fashion,3.6,80,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Internet | 201-500 Employees | 24 years old | Delhi/NCR +5 more,80
3,Govt of Karnataka,3.9,80,Work Life Balance,Promotions / Appraisal,Government | 1 Lakh+ Employees (Global) | Public | 68 years old | Bengaluru +20 more,80
4,Saviance Technologies,4.5,80,"Work Life Balance, Company Culture, Work Satisfaction",,IT Services & Consulting | 51-200 Employees | 25 years old | Metuchen +4 more,80
5,Signity Solutions,4.4,80,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,IT Services & Consulting | 51-200 Employees | 15 years old | Mohali +2 more,80
6,Trustline Securities,4.4,80,"Work Life Balance, Work Satisfaction, Job Security",,Investment Banking / Venture Capital / Private Equity | 501-1k Employees | 29 years old | Noida +19 more,80
7,Brickwork India,3.2,80,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,Financial Services | 201-500 Employees | 19 years old | Bangalore/Bengaluru +2 more,80
8,The Judge Group,3.3,80,"Promotions / Appraisal, Job Security, Salary & Benefits",,Recruitment | 501-1k Employees | 8 years old | Wayne +5 more,80
9,Zamil,3.9,80,"Work Life Balance, Job Security",Promotions / Appraisal,Financial Services | 201-500 Employees | 104 years old | Al Khobar +11 more,80
10,Asian Colour Coated Ispat,4.2,80,"Work Life Balance, Job Security, Company Culture",,Metals & Mining | 51-200 Employees | 19 years old | Gurugram +9 more,80
11,BCForward,4.1,80,"Work Satisfaction, Salary & Benefits, Work Life Balance",,IT Services & Consulting | 201-500 Employees | 26 years old | Indianapolis +2 more,80
12,Hetro Pharma,4.1,80,"Job Security, Work Life Balance, Skill Development / Learning",,1k-5k Employees | 31 years old | Hyderabad/Secunderabad +6 more,80
13,Prabha Industries,3.7,80,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,Chemicals | 54 years old | Chennai +10 more,80
14,Multi Commodity Exchange of India,3.5,80,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture",Financial Services | 201-500 Employees | Public | 21 years old | Mumbai +7 more,80
15,SecureNow Insurance Broker,3.3,80,"Promotions / Appraisal, Salary & Benefits, Job Security",,Insurance | 51-200 Employees | 13 years old | Delhi +6 more,80
16,MNC AUTOMATION,4.2,80,"Job Security, Promotions / Appraisal, Work Satisfaction",,Industrial Automation | 1-10 Employees | 28 years old | Noida +25 more,80
17,Jawaharlal Nehru Medical College,3.9,80,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,Education & Training | 201-500 Employees (Global) | 59 years old | Ajmer +13 more,80
18,Government of Gujarat,3.8,80,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Government | 11-50 Employees | Public | 64 years old | Gandhinagar +25 more,80
19,Knack Systems,3.5,80,"Salary & Benefits, Work Life Balance","Job Security, Skill Development / Learning",IT Services & Consulting | 201-500 Employees | 26 years old | Woodbridge +3 more,80
0,Antara Senior Living,3.5,80,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",,Real Estate | 51-200 Employees | Public | 11 years old | Dehradun +8 more,80
1,Chirayu Medical College & Hospital,4.2,80,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Healthcare | 201-500 Employees | 13 years old | Bhopal +4 more,80
2,Primetals Technologies,4.2,80,"Company Culture, Job Security, Skill Development / Learning",,Industrial Machinery | 201-500 Employees | 9 years old | London +6 more,80
3,Smile Electronics,3.1,80,"Company Culture, Salary & Benefits, Promotions / Appraisal",,Electronics Manufacturing | 201-500 Employees | Public | 26 years old | Bangalore/Bengaluru +2 more,80
4,Hindustan Shipyard,4.0,80,"Job Security, Work Life Balance","Promotions / Appraisal, Company Culture, Work Satisfaction",Ports & Shipping | 1k-5k Employees | Public | 83 years old | Visakhapatnam +5 more,80
5,Cascade Revenue Management,2.8,80,"Job Security, Company Culture, Work Life Balance",,IT Services & Consulting | 201-500 Employees | Kochi +3 more,80
6,Seaways Shipping Logistics,4.0,80,"Work Life Balance, Company Culture, Job Security",,Logistics | 501-1k Employees | 35 years old | Hyderabad/Secunderabad +15 more,80
7,Affinity Global Advertising,3.1,80,"Promotions / Appraisal, Work Satisfaction, Company Culture",,Marketing & Advertising | 51-200 Employees | 18 years old | Chicago +3 more,80
8,Mahindra Aerospace,3.7,80,Job Security,"Promotions / Appraisal, Work Satisfaction",Defence & Aerospace | 201-500 Employees | 14 years old | Bangalore +7 more,80
9,Anglo-French Drugs & Industries,3.7,80,Company Culture,"Job Security, Promotions / Appraisal",Pharma | 501-1k Employees | 101 years old | Bangalore +18 more,80
10,Aditya Auto Products & Engineering,3.6,80,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,Auto Components | 51-200 Employees | 28 years old | Bengaluru +8 more,80
11,codeMantra,3.1,80,"Job Security, Company Culture, Promotions / Appraisal",,IT Services & Consulting | 201-500 Employees | 20 years old | Burlington +1 more,80
12,Walmart Labs,3.9,80,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Bengaluru/Bangalore +3 more,80
13,Indu Projects,4.4,80,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",,Engineering & Construction | 1k-5k Employees | 23 years old | Hyderabad +12 more,80
14,LKP Securities,3.9,80,"Work Life Balance, Company Culture",,Financial Services | 501-1k Employees | Public | 76 years old | Mumbai +14 more,80
15,Convergent Wireless Communications,4.0,80,"Job Security, Work Satisfaction, Skill Development / Learning",,Telecom | 51-200 Employees | 23 years old | Bengaluru +18 more,80
16,Orient Blackswan,4.3,80,"Work Life Balance, Job Security, Salary & Benefits",,Printing & Publishing | 501-1k Employees | 76 years old | Hyderabad +18 more,80
17,Louis Dreyfus Commodities,4.2,80,"Company Culture, Work Life Balance, Job Security",,501-1k Employees | 27 years old | Rotterdam +10 more,80
18,Monotech Systems,4.0,80,"Work Life Balance, Work Satisfaction, Job Security",Salary & Benefits,Printing & Publishing | 51-200 Employees | 25 years old | Chennai +16 more,80
19,DDF Consultants,3.9,80,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Healthcare | 201-500 Employees | 16 years old | New Delhi +11 more,80
0,iPlace,3.7,80,"Salary & Benefits, Promotions / Appraisal",Job Security,201-500 Employees | 18 years old | pune,80
1,Colan Infotech,3.8,80,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 201-500 Employees | 15 years old | Chennai +5 more,80
2,Via.com,3.6,80,"Work Life Balance, Job Security","Promotions / Appraisal, Company Culture, Salary & Benefits",Media & Entertainment | 201-500 Employees | 19 years old | New York City +11 more,80
3,Opus Software Solutions,3.9,80,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Pune +6 more,80
4,Shiv Nadar University,4.2,80,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,Education & Training | 501-1k Employees | 13 years old | Noida +9 more,80
5,HyTech Professionals,3.3,80,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,IT Services & Consulting | 201-500 Employees | 20 years old | Rockville +2 more,80
6,Ascentrik Research Services,1.5,80,"Company Culture, Work Life Balance, Job Security",,IT Services & Consulting | 201-500 Employees | 14 years old | Mumbai +8 more,80
7,La opala rg,3.5,80,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Retail | 201-500 Employees | Public | 37 years old | Kolkata +10 more,80
8,Primeone Workforce,3.8,80,"Work Satisfaction, Company Culture, Skill Development / Learning",Promotions / Appraisal,Recruitment | 51-200 Employees | 19 years old | Bhopal +22 more,80
9,HIDADA,3.8,80,"Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Job Security",Engineering & Construction | 11-50 Employees | 42 years old | Jeddah +7 more,80
10,Cubic Transportation Systems,3.8,80,"Work Life Balance, Salary & Benefits","Company Culture, Promotions / Appraisal, Skill Development / Learning",IT Services & Consulting | 51-200 Employees | 30 years old | San Diego +1 more,80
11,Mangalore Chemicals & Fertilizers,4.3,80,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Agro Chemicals | 501-1k Employees | Public | 50 years old | Bangalore/Bengaluru +7 more,80
12,Pricol Engineering Industries,4.0,80,"Company Culture, Work Life Balance",Promotions / Appraisal,Auto Components | 51-200 Employees | Public | 29 years old | Coimbatore +10 more,80
13,Mahabal Group of Industries,3.4,80,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Auto Components | 51-200 Employees | 59 years old | Sangli +4 more,80
14,Sanathan Textiles,4.3,80,"Job Security, Work Satisfaction, Work Life Balance",,Fashion & Textile | 201-500 Employees | 23 years old | Mumbai +6 more,80
15,Lindstrom Services,3.9,80,Promotions / Appraisal,,Fashion & Textile | 501-1k Employees | 176 years old | Helsinki +15 more,80
16,Yoma Multinational Solutions,3.8,80,Promotions / Appraisal,,Recruitment | 51-200 Employees | 12 years old | Gurugram +21 more,80
17,Park Avenue,4.2,80,"Work Life Balance, Work Satisfaction, Company Culture",,Beauty & Personal Care | 1k-5k Employees | 60 years old | Thane +35 more,80
18,Chloride Metals,3.7,80,"Promotions / Appraisal, Salary & Benefits, Company Culture",,201-500 Employees | Haldia +5 more,80
19,SoftProdigy System Solutions,4.6,80,"Company Culture, Skill Development / Learning, Job Security",,IT Services & Consulting | 201-500 Employees | 18 years old | Mohali +1 more,80
0,Convergent Wireless Communications,4.0,80,"Job Security, Work Satisfaction, Skill Development / Learning",,Telecom | 51-200 Employees | 23 years old | Bengaluru +18 more,80
1,Louis Dreyfus Commodities,4.2,80,"Company Culture, Work Life Balance, Job Security",,501-1k Employees | 27 years old | Rotterdam +10 more,80
2,Monotech Systems,4.0,80,"Work Life Balance, Work Satisfaction, Job Security",Salary & Benefits,Printing & Publishing | 51-200 Employees | 25 years old | Chennai +16 more,80
3,Colan Infotech,3.8,80,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 201-500 Employees | 15 years old | Chennai +5 more,80
4,Via.com,3.6,80,"Work Life Balance, Job Security","Promotions / Appraisal, Company Culture, Salary & Benefits",Media & Entertainment | 201-500 Employees | 19 years old | New York City +11 more,80
5,Anglo-French Drugs & Industries,3.7,80,Company Culture,"Job Security, Promotions / Appraisal",Pharma | 501-1k Employees | 101 years old | Bangalore +18 more,80
6,Mahabal Group of Industries,3.4,80,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Auto Components | 51-200 Employees | 59 years old | Sangli +4 more,80
7,Cascade Revenue Management,2.8,80,"Job Security, Company Culture, Work Life Balance",,IT Services & Consulting | 201-500 Employees | Kochi +3 more,80
8,Hindustan Shipyard,4.0,80,"Job Security, Work Life Balance","Promotions / Appraisal, Company Culture, Work Satisfaction",Ports & Shipping | 1k-5k Employees | Public | 83 years old | Visakhapatnam +5 more,80
9,Antara Senior Living,3.5,80,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",,Real Estate | 51-200 Employees | Public | 11 years old | Dehradun +8 more,80
